Id,Start time,Completion time,Email,Name,What is your age group?,What is your occupation?,"Do you regularly use smart devices (e.g., smartphones, smart TVs, or smart speakers)?
","Which smart devices do you currently own?
",What is your typical morning routine? (Select all that apply),How often do you check the weather or news updates in the morning?,"How do you currently get your daily weather and news updates?
",Does checking your phone early in the morning for updates sometimes leads to wasting your time and making you late to start your day?,Do you find it challenging to keep up with daily news or weather updates due to a busy schedule?,"How useful do you think a smart mirror would be in your daily routine?
","Which features of a smart mirror would you find most useful?
","What concerns, if any, do you have about smart mirror technology?
","In your opinion, how could a smart mirror make your life easier? (Write in very short)
","Do you have any suggestions for additional features a smart mirror should include?
","Would you like to share any other thoughts or feedback regarding smart mirror technology?
"
1,12/28/2024 23:14,12/28/2024 23:14,anonymous,,18-25,Retired,Yes,Smartphone;, Checking weather/news;,1,Smartphone apps,1,No,3,Personalized greetings;,Cost of the device,,,
2,12/29/2024 19:52,12/29/2024 19:53,anonymous,,41-60,Homemaker,Yes,Smartphone;,Exercising;,8,Smartphone apps,8,No,10,Emotion detection and motivational feedback;Personalized greetings;,Maintenance and durability,,,
3,12/29/2024 19:51,12/29/2024 19:59,anonymous,,41-60,Self-Employed,Yes,Smartphone;Smart TV;, Preparing for work/school;,5,I don’t regularly check updates,5,Yes,10,News updates;,Maintenance and durability,It save ur time,No idea,Yes
4,12/29/2024 20:02,12/29/2024 20:03,anonymous,,18-25,Student,Yes,Smartphone;Smart TV;, Checking weather/news; Spending time on social media or phone; Preparing for work/school;,8,Smartphone apps;TV news channels;Newspaper;,10,Maybe,10,Weather updates;News updates;Emotion detection and motivational feedback;,Maintenance and durability,,,
5,12/29/2024 20:04,12/29/2024 20:08,anonymous,,18-25,Student,Yes,Smartphone;Smartwatch;Smart TV;, Preparing for work/school;Exercising; Spending time on social media or phone;,3,Smartphone apps;,7,Yes,8,Personalized greetings;Weather updates;News updates;Emotion detection and motivational feedback;,Cost of the device,"A smart mirror can make life easier by providing quick access to information like weather, calendar events, news, or reminders while you get ready, saving time and enhancing productivity.","A smart mirror could include voice control, fitness tracking, virtual try-on for clothes or makeup, health monitoring (e.g., heart rate, skin analysis), and integration with smart home devices for enhanced convenience.",no
6,12/29/2024 20:07,12/29/2024 20:10,anonymous,,18-25,Self-Employed,Yes,Smartphone;, Checking weather/news;,8,Smartphone apps;,10,Maybe,8,News updates;,Cost of the device,,,
7,12/29/2024 20:03,12/29/2024 20:10,anonymous,,41-60,Retired,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home);Smart TV;", Checking weather/news; Preparing for work/school;Exercising; Spending time on social media or phone;,8,Smartphone apps;TV news channels;Smart speakers;Newspaper;,8,Yes,10,Personalized greetings;Weather updates;News updates;Emotion detection and motivational feedback;,Accuracy of face recognition/emotion detection,It will definitely help me to start my daily schedules smoothly in a fresh mood.,Looks perfect.n,No.
8,12/29/2024 20:12,12/29/2024 20:13,anonymous,,18-25,Student,Yes,"Smartphone;Smartwatch;Smart speaker (e.g., Alexa, Google Home)", Preparing for work/school; Spending time on social media or phone;Exercising,7,TV news channels;Smartphone apps,9,Yes,8,Personalized greetings;Weather updates;News updates,Dependence on smart home infrastructure,,,
9,12/29/2024 20:10,12/29/2024 20:15,anonymous,,18-25,Student,Yes,Smartphone;Smartwatch, Spending time on social media or phone,5,Smartphone apps,3,Maybe,8,Weather updates;Emotion detection and motivational feedback;Personalized greetings,Cost of the device,Time won’t be wasted checking the weather ,,It’s a great idea ??
10,12/29/2024 20:09,12/29/2024 20:16,anonymous,,18-25,Student,Yes,Smartphone, Preparing for work/school; Spending time on social media or phone,7,Smartphone apps,9,Maybe,9,Weather updates;Emotion detection and motivational feedback;Personalized greetings;News updates,Maintenance and durability,getting news and other updates without having to search for them,,
