Id,Start time,Completion time,Email,Name,How easy was it to log into the Smart Mirror system?,How accurate was the face recognition feature in identifying you?,Did the emotion detection and motivational quote feel relevant to your mood?,"How useful did you find the real-time updates (time, weather, news, etc.)?","On a scale of 0–10, how visually appealing was the Smart Mirror dashboard?",Did the system send appropriate alerts when an unknown person was detected?,How confident do you feel about the security provided by the Smart Mirror?,Which feature did you find most useful or impressive? Why?,Is there any feature you found unnecessary or would like improved?,Would you recommend this Smart Mirror system to others?
1,4/27/2025 12:23,4/27/2025 12:23,anonymous,,9,9,Most of the time,10,10,Yes,9,All,,Definitely
2,4/27/2025 12:24,4/27/2025 12:24,anonymous,,10,10,Always,10,10,Yes,10,Unknown person alert,No,Definitely
3,4/27/2025 12:23,4/27/2025 12:24,anonymous,,10,10,Always,10,10,Yes,10,The time ,No,Definitely
4,4/27/2025 12:24,4/27/2025 12:25,anonymous,,8,8,Always,9,9,Yes,8,Alert,,Probably
5,4/27/2025 12:25,4/27/2025 12:25,anonymous,,10,9,Always,10,9,Yes,9,News,,Definitely
6,4/27/2025 12:24,4/27/2025 12:25,anonymous,,10,10,Always,10,10,Yes,10,Weather,No,Definitely
7,4/27/2025 12:25,4/27/2025 12:26,anonymous,,9,9,Always,9,9,Yes,9,All,,Definitely
8,4/27/2025 12:26,4/27/2025 12:26,anonymous,,8,9,Most of the time,10,8,Yes,9,Weather,,Probably
9,4/27/2025 12:26,4/27/2025 12:26,anonymous,,8,7,Most of the time,8,8,Yes,8,News,,Definitely
10,4/27/2025 12:27,4/27/2025 12:27,anonymous,,10,10,Always,10,10,Yes,10,Unknown person alerts,,Definitely
11,4/27/2025 12:28,4/27/2025 12:28,anonymous,,9,10,Always,10,10,Yes,10,Face detector ,N,Definitely
12,4/27/2025 12:28,4/27/2025 12:29,anonymous,,9,10,Most of the time,8,9,Yes,8,All,,Definitely
13,4/27/2025 12:28,4/27/2025 12:29,anonymous,,9,10,Most of the time,10,10,Yes,10,Time,No,Definitely
14,4/27/2025 12:29,4/27/2025 12:29,anonymous,,10,9,Most of the time,10,8,Yes,9,All,,Definitely
15,4/27/2025 12:29,4/27/2025 12:30,anonymous,,9,9,Always,9,9,Yes,9,Motivation,,Definitely
16,4/27/2025 12:30,4/27/2025 12:30,anonymous,,10,10,Always,10,9,Yes,9,Emotion,,Probably
17,4/27/2025 12:30,4/27/2025 12:30,anonymous,,9,8,Most of the time,8,8,Yes,8,Emotion,,Definitely
